Gender,Age,Previous_Year_Percentage,Current_Year_Percentage,Overall_Percentage,Number_of_Failures,Number_of_Absences,Attendance_Percentage,Attendance_Classification,Mother_Education,Father_Education,Family_Support,School_Support,Internet_Access,Health_Status,Family_Income,Financial_Difficulty,Homework_Completion,Low_Motivation,Mental_Health_Risk,Child_Labour_Risk,Computer_Access,Smartphone_Access,Electricity_Availability,Dropout_Status
F,17.0,0.0,90.0,45.0,0,63,71.36,Moderate,College,College,no,yes,no,Average,High,No,Poor,No,No,No,Yes,Yes,Yes,Yes
F,16.0,45.0,55.0,50.0,0,54,75.45,Moderate,Primary,Primary,yes,no,yes,Average,Low,Yes,Average,No,No,No,Yes,No,Yes,At_Risk
F,15.0,60.0,65.0,62.5,0,13,94.09,Good,Primary,Primary,no,yes,yes,Average,Low,Yes,Good,No,No,No,Yes,No,Yes,At_Risk
F,15.0,70.0,70.0,70.0,0,6,97.27,Excellent,College,Middle School,yes,no,yes,Excellent,High,No,Good,No,No,No,Yes,Yes,Yes,No
F,15.0,55.0,65.0,60.0,0,5,97.73,Excellent,High School,High School,yes,no,no,Excellent,High,No,Good,No,No,No,Yes,Yes,Yes,No
M,15.0,60.0,60.0,60.0,0,6,97.27,Excellent,College,High School,yes,no,yes,Excellent,High,No,Good,No,No,No,Yes,Yes,Yes,No
M,15.0,65.0,60.0,62.5,0,28,87.27,Good,Middle School,Middle School,no,no,yes,Average,Medium,No,Good,No,No,No,Yes,Yes,Yes,No
F,16.0,50.0,65.0,57.5,0,17,92.27,Good,College,College,yes,yes,no,Very Poor,High,No,Average,No,Yes,No,Yes,Yes,Yes,No
M,15.0,75.0,80.0,77.5,0,2,99.09,Excellent,High School,Middle School,yes,no,yes,Very Poor,Medium,No,Good,No,Yes,No,Yes,Yes,Yes,No
M,15.0,60.0,60.0,60.0,0,5,97.73,Excellent,High School,College,yes,no,yes,Excellent,High,No,Good,No,No,No,Yes,Yes,Yes,No
