Student_ID,Gender,Age,Class,Section,Medium_of_Instruction,Community,Previous_Year_Percentage,Unit_Test_Average,Quarterly_Exam,Half_Yearly_Exam,Annual_Exam,Mathematics_Marks,Science_Marks,English_Marks,Social_Science_Marks,Regional_Language_Marks,Overall_Percentage,Number_of_Failed_Subjects,Attendance_Percentage,Consecutive_Absences,Leave_Days,Late_Arrivals,Homework_Completion,Assignment_Submission_Rate,Classroom_Participation,Discipline_Incidents,Teacher_Feedback,Family_Income,Parents_Education,Parents_Occupation,Single_Parent,Number_of_Siblings,Guardian_Support,Home_Study_Hours,Distance_to_School_km,Transport_Mode,Travel_Time_min,Chronic_Illness,Nutrition_Status,Vision_Problems,Mental_Health_Risk,Disability_Status,Internet_Access,Smartphone_Access,Computer_Access,Electricity_Availability,School_Type,Teacher_Student_Ratio,Midday_Meal_Beneficiary,Participation_in_Extracurricular,Library_Usage,Financial_Difficulty,Child_Labour_Risk,Frequent_Migration,Family_Issues,Academic_Backlogs,Low_Motivation,Bullying_Experience,Dropout_Risk,Dropout_Status
STU000001,Female,10,6,B,Regional Language,General,72.9,78.8,73.9,67,72.1,86,75,54,82,82,75.8,0,89.1,0,3,1,67.9,84.8,Medium,0,Good,64900,Illiterate,Farmer,Yes,1,Low,1.5,3.3,Bicycle,24,No,Average,Yes,High,Yes,Yes,Yes,No,Yes,Government,1:40,Yes,No,High,No,No,No,Yes,No,Yes,No,Low,No
STU000002,Male,14,9,A,Regional Language,EWS,98.1,83.7,90.2,83.8,93.1,79,84,83,90,86,84.4,0,90.5,4,2,3,69.3,69.7,Medium,0,Good,88500,Higher Secondary,Farmer,No,4,High,1.1,4.9,Public Bus,22,No,Average,No,Low,No,Yes,No,No,Yes,Government,1:30,No,No,Low,No,No,No,No,No,No,No,Low,No
STU000003,Female,11,6,A,Regional Language,SC,71,75.2,74,73.1,68.7,55,83,79,86,63,73.2,0,76.3,0,1,0,63.7,54.6,Medium,0,Good,116400,Illiterate,Private Job,No,4,Medium,2.8,9.8,School Van,38,No,Average,Yes,High,No,Yes,Yes,No,Yes,Government,1:25,Yes,Yes,High,No,No,No,No,No,No,No,Low,No
STU000004,Male,15,10,B,Regional Language,OBC,54.5,51.9,56.8,54.6,61.9,66,40,45,55,61,53.4,0,79.4,4,4,2,66.9,64.3,Medium,1,Good,153600,Secondary,Farmer,No,0,Low,2.5,1.2,Walk,23,No,Good,No,Medium,No,Yes,No,No,Yes,Government,1:45,Yes,Yes,Medium,No,No,No,No,No,No,No,Low,No
STU000005,Female,13,8,A,Regional Language,ST,80.6,60.8,72.7,70.6,65.9,67,65,71,68,79,70,0,82.4,2,2,2,53.2,54.6,Medium,1,Average,26000,Primary,Farmer,Yes,1,Medium,1.3,2.8,Bicycle,21,No,Average,No,Medium,No,No,Yes,No,Yes,Government,1:30,Yes,Yes,Low,No,No,No,No,No,No,No,Low,No
STU000006,Female,14,9,C,Regional Language,ST,48.7,53.2,48.7,36.3,44.4,53,49,53,33,46,46.8,1,78.2,7,6,0,73.5,77.9,High,1,Good,64400,Primary,Government Job,No,3,Low,0.2,1.3,Walk,21,No,Good,No,High,No,Yes,No,No,Yes,Government,1:25,Yes,Yes,Low,Yes,No,No,No,Yes,Yes,No,High,Yes
STU000007,Male,13,8,D,Regional Language,OBC,48.2,50.1,49.9,53.2,46.3,55,37,48,50,53,48.6,0,85.6,2,2,0,41.2,37.9,Medium,1,Average,44500,Primary,Private Job,Yes,2,High,2.3,1.3,Bicycle,6,No,Average,No,Low,No,Yes,No,No,Yes,Government,1:30,Yes,No,Medium,No,No,Yes,No,No,No,No,Low,Yes
STU000008,Female,13,8,D,Regional Language,General,60.9,58,63.3,53.7,56.1,52,61,45,55,69,56.4,0,69.4,5,2,2,67.3,61.8,Medium,1,Good,28500,Primary,Farmer,No,0,High,2.1,0.2,Walk,10,No,Poor,No,Medium,No,No,No,No,Yes,Government,1:40,Yes,No,Medium,Yes,No,No,No,No,Yes,No,High,No
STU000009,Female,14,9,C,English,SC,54.2,65.1,49.3,64.4,63.2,61,57,51,74,54,59.4,0,66.3,2,5,2,55,44.8,Medium,0,Good,132100,Primary,Daily Wage Labourer,No,3,High,1.3,1.6,Bicycle,11,No,Average,No,Low,No,No,No,No,Yes,Government-Aided,1:35,Yes,Yes,Low,No,No,No,No,No,No,No,Medium,Yes
STU000010,Female,16,10,A,Regional Language,OBC,99.2,98.3,91,96.3,100,85,90,100,100,100,95,0,73.2,2,1,2,60.2,48.8,Medium,0,Good,274900,Graduate,Daily Wage Labourer,No,0,High,3.4,0.7,Walk,14,No,Good,No,Medium,No,Yes,No,No,Yes,Government,1:35,Yes,Yes,Medium,No,No,No,No,No,No,Yes,Low,No
